latitude,longitude,mag,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12
-103.26,47.712,0.00020951,0.00017943,0.00014927,0.0001201,9.25E-05,6.68E-05,4.33E-05,2.23E-05,3.91E-06,0.00012919,7.77E-05,0.0028758
-102.1,47.826,6.08E-07,-0.00013342,-0.00026287,-0.00038385,-0.00049388,-0.00059149,-0.00067571,-0.00074599,-0.0008021,0.00038679,0.00014656,-0.018731
-101.5,47.714,-5.41E-05,-7.40E-05,-9.24E-05,-0.00010868,-0.00012263,-0.00013422,-0.00014351,-0.0001504,-0.00015493,-0.00052957,-0.00039381,-0.013005
-100.39,47.716,5.09E-05,4.74E-06,-4.02E-05,-8.26E-05,-0.00012108,-0.00015498,-0.00018408,-0.00020847,-0.00022843,-0.00035083,-0.00050821,-0.017748
-98.478,47.703,-9.86E-05,-3.12E-05,3.45E-05,9.62E-05,0.00015279,0.00020356,0.00024815,0.00028625,0.00031774,-7.96E-05,-8.55E-05,0.0054861
-97.734,47.793,0.00010824,9.11E-05,7.37E-05,5.67E-05,4.06E-05,2.55E-05,1.11E-05,-2.74E-06,-1.56E-05,-3.60E-05,-5.25E-05,-0.003043
-96.528,47.825,-9.41E-05,-0.000171,-0.00024424,-0.00031188,-0.00037279,-0.00042635,-0.00047193,-0.0005089,-0.00053707,0.00020951,0.00017943,-0.0056819
-95.772,47.759,0.00018721,5.41E-05,-7.57E-05,-0.00019789,-0.00030928,-0.00040812,-0.00049391,-0.00056668,-0.00062651,6.08E-07,-0.00013342,0.0022019
-94.911,47.65,-0.00010407,5.94E-05,0.00021965,0.00037191,0.00051228,0.00063811,0.00074809,0.00084195,0.00091968,-5.41E-05,-7.40E-05,0.014416
-93.976,47.701,4.55E-05,6.47E-05,8.21E-05,9.66E-05,0.00010814,0.00011709,0.00012435,0.00013054,0.00013567,5.09E-05,4.74E-06,-0.0038885
-92.838,47.758,2.51E-05,0.00020933,0.00038662,0.00055146,0.00070047,0.00083199,0.00094517,0.0010394,0.0011145,-9.86E-05,-3.12E-05,0.011354
-92.185,47.728,0.00013938,-1.16E-05,-0.0001589,-0.00029812,-0.00042563,-0.00053903,-0.00063696,-0.00071887,-0.00078507,0.00010824,9.11E-05,0.00036733
-91.273,47.717,-3.50E-06,2.12E-05,4.50E-05,6.67E-05,8.54E-05,0.0001009,0.00011344,0.0001236,0.00013168,-9.41E-05,-0.000171,-0.011802
-90.129,47.817,-0.00013745,-8.77E-05,-3.85E-05,8.41E-06,5.20E-05,9.14E-05,0.00012619,0.00015606,0.00018112,0.00018721,5.41E-05,0.021843
